127.0.0.1 - - [01/Sep/2016:08:52:09 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:11:58 +0800] "GET /projectManage/images/hexagon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:11:58 +0800] "GET /projectManage/css/style.complete.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:11:58 +0800] "GET /projectManage/js/jquery-1.8.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:11:58 +0800] "GET /projectManage/js/jquery.ui.touch-punch.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:11:58 +0800] "GET /projectManage/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:11:58 +0800] "GET /projectManage/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:11:58 +0800] "GET /projectManage/images/portfolio1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:11:58 +0800] "GET /projectManage/js/bootstrap-select.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:11:58 +0800] "GET /projectManage/images/portfolio2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:11:58 +0800] "GET /projectManage/js/jquery.tagsinput.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:11:58 +0800] "GET /projectManage/images/portfolio4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:11:58 +0800] "GET /projectManage/js/flatui-checkbox.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:11:58 +0800] "GET /projectManage/js/flatui-radio.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:11:58 +0800] "GET /projectManage/js/bootstrap-switch.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:11:58 +0800] "GET /projectManage/js/jquery.placeholder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:11:58 +0800] "GET /projectManage/js/over.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:11:58 +0800] "GET /projectManage/js/jquery-ui-1.10.3.custom.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:11:58 +0800] "GET /projectManage/js/application.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:11:58 +0800] "GET /projectManage/js/jquery.nivo.slider.pack.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:11:58 +0800] "GET /projectManage/images/partner-logos/logo-bower.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:11:58 +0800] "GET /projectManage/images/partner-logos/logo-yeoman.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:11:58 +0800] "GET /projectManage/images/partner-logos/logo-grunt.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:11:58 +0800] "GET /projectManage/images/partner-logos/logo-angularjs.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:11:58 +0800] "GET /projectManage/images/portfolio7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:11:58 +0800] "GET /projectManage/images/icons/brush.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:11:58 +0800] "GET /projectManage/images/partner-logos/logo-bootstrap.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:11:58 +0800] "GET /projectManage/images/partner-logos/logo-less.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:11:58 +0800] "GET /projectManage/images/portfolio6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:11:58 +0800] "GET /projectManage/images/portfolio8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:11:58 +0800] "GET /projectManage/images/partner-logos/logo-jquery.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:11:58 +0800] "GET /projectManage/images/partner-logos/logo-sass.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:12:17 +0800] "GET /projectManage/fonts/lato/lato-bold-webfont.eot? HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:12:17 +0800] "GET /projectManage/fonts/lato/lato-black-webfont.eot? HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:12:17 +0800] "GET /projectManage/fonts/lato/lato-bolditalic-webfont.eot? HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:12:17 +0800] "GET /projectManage/fonts/lato/lato-italic-webfont.eot? HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:12:17 +0800] "GET /projectManage/fonts/lato/lato-light-webfont.eot? HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:12:17 +0800] "GET /projectManage/fonts/lato/lato-regular-webfont.eot? HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:12:17 +0800] "GET /projectManage/fonts/lato/lato-black-webfont.woff HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:12:17 +0800] "GET /projectManage/fonts/lato/lato-bolditalic-webfont.woff HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:12:17 +0800] "GET /projectManage/fonts/lato/lato-bold-webfont.woff HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:12:17 +0800] "GET /projectManage/fonts/lato/lato-light-webfont.woff HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:12:17 +0800] "GET /projectManage/fonts/lato/lato-italic-webfont.woff HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:12:17 +0800] "GET /projectManage/fonts/lato/lato-regular-webfont.woff HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:12:17 +0800] "GET /projectManage/fonts/lato/lato-black-webfont.ttf HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:12:17 +0800] "GET /projectManage/fonts/lato/lato-bolditalic-webfont.ttf HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:12:17 +0800] "GET /projectManage/fonts/lato/lato-light-webfont.ttf HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:12:17 +0800] "GET /projectManage/fonts/lato/lato-bold-webfont.ttf HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:12:17 +0800] "GET /projectManage/fonts/lato/lato-italic-webfont.ttf HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:12:17 +0800] "GET /projectManage/fonts/lato/lato-regular-webfont.ttf HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:12:17 +0800] "GET /projectManage/fonts/fontawesome-webfont.eot? HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:12:17 +0800] "GET /projectManage/fonts/fontawesome-webfont.eot? HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:12:17 +0800] "GET /projectManage/images/dark-logs-bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:12:17 +0800] "GET /projectManage/fonts/fontawesome-webfont.woff?v=4.1.0 HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:12:17 +0800] "GET /projectManage/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:12:17 +0800] "GET /projectManage/fonts/fontawesome-webfont.ttf?v=4.2.0 HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:12:17 +0800] "GET /projectManage/fonts/fontawesome-webfont.ttf?v=4.1.0 HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:12:17 +0800] "GET /projectManage/fonts/Flat-UI-Icons.eot? HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:12:17 +0800] "GET /projectManage/fonts/Flat-UI-Icons.woff HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:12:17 +0800] "GET /projectManage/fonts/Flat-UI-Icons.ttf HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:15:06 +0800] "GET /projectManage/index.jsp HTTP/1.1" 200 17351
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:15:24 +0800] "GET /projectManage/fonts/lato/lato-bold-webfont.eot? HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:15:24 +0800] "GET /projectManage/fonts/lato/lato-black-webfont.eot? HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:15:24 +0800] "GET /projectManage/fonts/lato/lato-bolditalic-webfont.eot? HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:15:24 +0800] "GET /projectManage/fonts/lato/lato-italic-webfont.eot? HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:15:24 +0800] "GET /projectManage/fonts/lato/lato-light-webfont.eot? HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:15:24 +0800] "GET /projectManage/fonts/lato/lato-regular-webfont.eot? HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:15:24 +0800] "GET /projectManage/fonts/lato/lato-black-webfont.woff HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:15:24 +0800] "GET /projectManage/fonts/lato/lato-bolditalic-webfont.woff HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:15:24 +0800] "GET /projectManage/fonts/lato/lato-bold-webfont.woff HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:15:24 +0800] "GET /projectManage/fonts/lato/lato-italic-webfont.woff HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:15:24 +0800] "GET /projectManage/fonts/lato/lato-light-webfont.woff HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:15:24 +0800] "GET /projectManage/fonts/lato/lato-regular-webfont.woff HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:15:24 +0800] "GET /projectManage/fonts/lato/lato-black-webfont.ttf HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:15:24 +0800] "GET /projectManage/fonts/lato/lato-bolditalic-webfont.ttf HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:15:24 +0800] "GET /projectManage/fonts/lato/lato-bold-webfont.ttf HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:15:24 +0800] "GET /projectManage/fonts/lato/lato-italic-webfont.ttf HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:15:24 +0800] "GET /projectManage/fonts/lato/lato-light-webfont.ttf HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:15:24 +0800] "GET /projectManage/fonts/lato/lato-regular-webfont.ttf HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:15:24 +0800] "GET /projectManage/fonts/fontawesome-webfont.eot? HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:15:24 +0800] "GET /projectManage/fonts/fontawesome-webfont.eot? HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:15:24 +0800] "GET /projectManage/fonts/fontawesome-webfont.woff?v=4.1.0 HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:15:24 +0800] "GET /projectManage/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:15:24 +0800] "GET /projectManage/fonts/fontawesome-webfont.ttf?v=4.2.0 HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:15:24 +0800] "GET /projectManage/fonts/fontawesome-webfont.ttf?v=4.1.0 HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:15:25 +0800] "GET /projectManage/fonts/Flat-UI-Icons.eot? HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:15:25 +0800] "GET /projectManage/fonts/Flat-UI-Icons.woff HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [01/Sep/2016:09:15:25 +0800] "GET /projectManage/fonts/Flat-UI-Icons.ttf HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [01/Sep/2016:10:53:40 +0800] "GET /projectManage/index.jsp HTTP/1.1" 200 17322
0:0:0:0:0:0:0:1 - - [01/Sep/2016:10:53:40 +0800] "GET /projectManage/bootstrap/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2016:10:53:40 +0800] "GET /projectManage/css/flat-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2016:10:53:40 +0800] "GET /projectManage/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2016:10:53:40 +0800] "GET /projectManage/css/style.complete.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2016:10:53:40 +0800] "GET /projectManage/images/hexagon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2016:10:53:40 +0800] "GET /projectManage/css/myStyle.css HTTP/1.1" 200 62
0:0:0:0:0:0:0:1 - - [01/Sep/2016:10:53:40 +0800] "GET /projectManage/images/portfolio3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2016:10:53:40 +0800] "GET /projectManage/images/portfolio2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2016:10:53:40 +0800] "GET /projectManage/images/portfolio5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2016:10:53:40 +0800] "GET /projectManage/images/portfolio4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2016:10:53:40 +0800] "GET /projectManage/images/portfolio1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2016:10:53:40 +0800] "GET /projectManage/images/portfolio6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2016:10:53:40 +0800] "GET /projectManage/images/portfolio7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2016:10:53:40 +0800] "GET /projectManage/images/portfolio8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2016:10:53:40 +0800] "GET /projectManage/images/partner-logos/logo-bootstrap.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2016:10:53:40 +0800] "GET /projectManage/images/partner-logos/logo-sass.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2016:10:53:40 +0800] "GET /projectManage/images/partner-logos/logo-less.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2016:10:53:40 +0800] "GET /projectManage/images/partner-logos/logo-jquery.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2016:10:53:41 +0800] "GET /projectManage/images/partner-logos/logo-bower.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2016:10:53:41 +0800] "GET /projectManage/images/partner-logos/logo-angularjs.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2016:10:53:41 +0800] "GET /projectManage/images/partner-logos/logo-yeoman.png HTTP/1.1" 304 -
